Marca temporal,"Despois de ler a información sobre o estudo, acepta participar de forma voluntaria? ",Idade  ,Sexo, Anos de experiencia profesional en enfermaría  , Nivel educativo  ,  Área Sanitaria na que traballa  ,Ámbito de traballo,"Con que frecuencia usa tecnoloxía dixital na súa práctica clínica fora dos programas corporativos?   ""A tecnoloxía dixital inclúe calquera ferramenta electrónica ou software que empregue na súa práctica clínica, como historias clínicas electrónicas, aplicacións de xestión de pacientes, plataformas de teleconsulta, sistemas de prescrición electrónica, dispositivos de monitorización dixital ou ferramentas de apoio á toma de decisións clínicas baseadas en datos"".  ",En que medida comprende o concepto de Intelixencia Artificial (IA)?  ,Usa IA no seu traballo para planificar ou realizar coidados?  ,Recibiu formación en IA ou educación previa sobre este tema?  ,Gustaríalle recibir formación sobre IA en saúde?  ,Que importancia lle dá á formación en intelixencia artificial para o seu desenvolvemento profesional?  ,1.Creo que o uso da IA na miña especialidade podería mellorar a atención aos pacientes.  ,2. Creo que o uso da IA na miña especialidade podería mellorar a toma de decisións clínicas   ,3.Creo que a IA pode mellorar os indicadores de saúde da poboación  ,4.Creo que a IA pode cambiar o meu papel como profesional sanitario no futuro  ,5.Creo que a introdución da IA pode reducir o custo económico asociado ao meu traballo   ,6.Creo que algún día a IA poderá formar parte do meu traballo como profesional sanitario    ,7.Creo que a maioría dos profesionais sanitarios están preparados para a introdución da tecnoloxía baseada en IA      ,8.Creo que recibín unha formación adecuada para usar IA no meu traballo        ,9.Creo que existe un marco ético para o uso da tecnoloxía baseada en IA no meu lugar de traballo        ,"10.Creo que, se a tecnoloxía baseada en IA comete un erro, toda a responsabilidade recae no profesional sanitario  ","Que desafíos considera como os principais obstáculos para a integración da IA na súa práctica clínica?  (Falta de formación, dúbidas na ética, implementación, infraestructura, desembolso económico e demáis temáticas que considere importantes)","En que áreas de formación sobre IA estaría interesado/a recibir capacitación? (""Ningunha"" ou ""non sei"" tamén son respostas válidas)"
20/03/2025 18:17:48,Sí,31,Home,6-10 anos,Máster,Santiago-Barbanza,Urbano,Sempre,Bastante,Sí,"Cursos autodidactas (webinars, conferencias, etc.)",Sí,Moi importante,Totalmente de acordo,Totalmente de acordo,Totalmente de acordo,Totalmente de acordo,Totalmente de acordo,Totalmente de acordo,De acordo,Totalemnte en desacordo,De acordo,De acordo,Formación. Ética. Edad del profesional,Ética. Uso da ferramenta
20/03/2025 18:18:43,Sí,29,Muller,6-10 anos,Grado,Santiago-Barbanza,Urbano,Sempre,Bastante,Non,Ningunha,Sí,Algo importante,De acordo,De acordo,De acordo,De acordo,Nin de acordo nin en desacordo,Totalmente de acordo,En desacordo,Totalemnte en desacordo,Nin de acordo nin en desacordo,Totalmente de acordo,Formación ,En general 
20/03/2025 18:21:11,Sí,28,Muller,6-10 anos,Grado,Santiago-Barbanza,Urbano,Frecuentemente,Algo,Non,"Cursos autodidactas (webinars, conferencias, etc.)",Sí,Moi importante,Totalmente de acordo,Totalmente de acordo,Totalmente de acordo,Totalmente de acordo,Totalmente de acordo,Totalmente de acordo,De acordo,En desacordo,Nin de acordo nin en desacordo,En desacordo,Poca formación ,En general 
20/03/2025 18:39:51,Sí,34,Muller,6-10 anos,Grado,Santiago-Barbanza,Rural,Ás veces,Algo,Non,Ningunha,Sí,Importante,De acordo,De acordo,Nin de acordo nin en desacordo,En desacordo,De acordo,De acordo,Totalemnte en desacordo,En desacordo,En desacordo,De acordo,"Falta de formación, implementación y ética.",Mejora de toma de decisiones clínicas.
20/03/2025 19:23:30,Sí,28,Muller,6-10 anos,Máster,Santiago-Barbanza,Urbano,Frecuentemente,Bastante,Non,Ningunha,Non,Pouco importante,Nin de acordo nin en desacordo,De acordo,De acordo,De acordo,Nin de acordo nin en desacordo,De acordo,En desacordo,En desacordo,En desacordo,De acordo,"Ética, perfeccionamento da IA, criterio profesional, responsabilidade asistencial",Ningunha
20/03/2025 21:04:19,Sí,39,Muller,>10 anos,Grado,Santiago-Barbanza,Rural,Frecuentemente,Bastante,Sí,Ningunha,Sí,Algo importante,De acordo,Nin de acordo nin en desacordo,Nin de acordo nin en desacordo,De acordo,Nin de acordo nin en desacordo,Totalmente de acordo,En desacordo,Totalemnte en desacordo,Totalemnte en desacordo,Totalemnte en desacordo,Dúbidas na ética ,Usos e aplicacións
20/03/2025 22:09:20,Sí,28,Muller,1-5 anos,Grado,Santiago-Barbanza,Rural,Ás veces,Bastante,Non,Ningunha,Sí,Algo importante,De acordo,De acordo,De acordo,De acordo,Nin de acordo nin en desacordo,De acordo,En desacordo,En desacordo,En desacordo,De acordo,"Reticencia por parte los profesionales, miedo al error.",.
21/03/2025 0:15:15,Sí,28,Muller,6-10 anos,Máster,A Coruña-Cee,Rural,Sempre,Bastante,Sí,"Cursos autodidactas (webinars, conferencias, etc.)",Sí,Moi importante,Totalmente de acordo,Totalmente de acordo,Totalmente de acordo,Totalmente de acordo,De acordo,Totalmente de acordo,Nin de acordo nin en desacordo,Nin de acordo nin en desacordo,Nin de acordo nin en desacordo,De acordo,Contratos eventuales que imposibilita el seguimiento ,Recomendaciones y personalizacion
21/03/2025 9:22:42,Sí,34,Home,>10 anos,Máster,Santiago-Barbanza,Urbano,Ás veces,Bastante,Non,"Cursos autodidactas (webinars, conferencias, etc.)",Sí,Importante,De acordo,De acordo,De acordo,Nin de acordo nin en desacordo,De acordo,De acordo,En desacordo,Nin de acordo nin en desacordo,En desacordo,Totalmente de acordo,Falta de formacion,Investigacion
21/03/2025 18:42:37,Sí,26,Muller,1-5 anos,Grado,Santiago-Barbanza,Urbano,Ás veces,Pouco,Non sei,Ningunha,Sí,Importante,Totalmente de acordo,Totalmente de acordo,Totalmente de acordo,Totalmente de acordo,De acordo,Totalmente de acordo,En desacordo,En desacordo,De acordo,De acordo,A falta de formación e o desinterese de moitos profesionais en atención primaria por continuar formándose.,Non sei 
